Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ARLUK,26,159D,Box 12,b12,07/16/1942,12/31/1942,Box 12,1,206,406,https://catalog.archives.gov/id/23711540; https://catalog.archives.gov/id/23711561; https://catalog.archives.gov/id/23711601; https://catalog.archives.gov/id/23711636; https://catalog.archives.gov/id/23711679; https://catalog.archives.gov/id/23711717,Arctic
ARLUK,26,159E,Box 16,b16,01/01/1943,04/30/1943,Box 16,1,146,287,https://catalog.archives.gov/id/23711757; https://catalog.archives.gov/id/23711794; https://catalog.archives.gov/id/23711830; https://catalog.archives.gov/id/23711870,Arctic
ARLUK,26,159E,Box 17,b17,05/01/1943,11/30/1943,Box 17,1,256,503,https://catalog.archives.gov/id/23711910; https://catalog.archives.gov/id/23711948; https://catalog.archives.gov/id/23711987; https://catalog.archives.gov/id/23712025; https://catalog.archives.gov/id/23712063; https://catalog.archives.gov/id/23712100; https://catalog.archives.gov/id/23712140,Arctic
ARLUK,26,159E,Box 18,b18,12/01/1943,12/31/1943,Box 18,1,37,71,https://catalog.archives.gov/id/23712179,Arctic
ARLUK,26,159F,Box 37,b37,01/01/1944,05/31/1944,Box 37,1,181,355,https://catalog.archives.gov/id/23712217; https://catalog.archives.gov/id/23712255; https://catalog.archives.gov/id/23712291; https://catalog.archives.gov/id/23712329; https://catalog.archives.gov/id/23712367,Arctic
ARLUK,26,159F,Box 38,b38,06/01/1944,07/06/1944,Box 38,1,47,90,https://catalog.archives.gov/id/23712407; https://catalog.archives.gov/id/23712444,Arctic
ATAK,26,159D,Box 15,b15,07/01/1942,12/31/1942,Box 15,1,227,226,https://catalog.archives.gov/id/23712457; https://catalog.archives.gov/id/23712492; https://catalog.archives.gov/id/23712527; https://catalog.archives.gov/id/23712559; https://catalog.archives.gov/id/23712592; https://catalog.archives.gov/id/23712635,Arctic
ATAK,26,159E,Box 24,b24,01/01/1943,05/31/1943,Box 24,1,187,367,https://catalog.archives.gov/id/23712695; https://catalog.archives.gov/id/23712733; https://catalog.archives.gov/id/23712768; https://catalog.archives.gov/id/23712817; https://catalog.archives.gov/id/23712853,Arctic
ATAK,26,159E,Box 25,b25,06/01/1943,12/31/1943,Box 25,1,195,382,https://catalog.archives.gov/id/23712891; https://catalog.archives.gov/id/23712928; https://catalog.archives.gov/id/23712966; https://catalog.archives.gov/id/23713020; https://catalog.archives.gov/id/23713058,Arctic
ATAK,26,159F,Box 46,b46,01/01/1944,02/01/1944,Box 46,1,38,73,https://catalog.archives.gov/id/23713095; https://catalog.archives.gov/id/23713134,Arctic
ATAK,26,159F,Box 47,b47,02/01/1944,06/30/1944,Box 47,1,176,345,https://catalog.archives.gov/id/23713134; https://catalog.archives.gov/id/23713170; https://catalog.archives.gov/id/23713208; https://catalog.archives.gov/id/23713245; https://catalog.archives.gov/id/23713283,Arctic
ATAK,26,159F,Box 48,b48,07/01/1944,07/15/1944,Box 48,1,23,43,https://catalog.archives.gov/id/23713319,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1934-09,09/20/1934,09/30/1934,Box 327,1,23,23,https://catalog.archives.gov/id/23669755,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1934-10,10/01/1934,10/31/1934,Box 327,1,65,65,https://catalog.archives.gov/id/23669780,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1934-11,11/01/1934,11/30/1934,Box 327,1,63,63,https://catalog.archives.gov/id/23669847,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1934-12,12/01/1934,12/31/1934,Box 327,1,63,63,https://catalog.archives.gov/id/23669912,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-01,01/01/1935,01/31/1935,Box 327,1,62,62,https://catalog.archives.gov/id/23669977,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-02,02/01/1935,02/28/1935,Box 327,1,56,56,https://catalog.archives.gov/id/23670041,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-03,03/01/1935,03/31/1935,Box 327,1,64,64,https://catalog.archives.gov/id/23670099,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-04,04/01/1935,04/30/1935,Box 327,1,63,63,https://catalog.archives.gov/id/23670165,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-05,05/01/1935,05/31/1935,Box 327,1,63,63,https://catalog.archives.gov/id/23670230,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-06,06/01/1935,06/30/1935,Box 327,1,67,67,https://catalog.archives.gov/id/23670295,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-07,07/01/1935,07/31/1935,Box 327,1,68,68,https://catalog.archives.gov/id/23670364,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-08,08/01/1935,08/31/1935,Box 327,1,65,65,https://catalog.archives.gov/id/23670434,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-09,09/01/1935,09/30/1935,Box 327,1,60,60,https://catalog.archives.gov/id/23670501,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-10,10/01/1935,10/31/1935,Box 327,1,80,80,https://catalog.archives.gov/id/23670563,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-11,11/01/1935,11/30/1935,Box 327,1,64,64,https://catalog.archives.gov/id/23670645,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1935-12,12/01/1935,12/31/1935,Box 327,1,66,66,https://catalog.archives.gov/id/23670711,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-01,01/01/1936,01/31/1936,Box 327,1,64,64,https://catalog.archives.gov/id/23670779,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-02,02/01/1936,02/29/1936,Box 327,1,58,58,https://catalog.archives.gov/id/23670845,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-03,03/01/1936,03/31/1936,Box 327,1,64,64,https://catalog.archives.gov/id/23670905,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-04,04/01/1936,04/30/1936,Box 327,1,60,60,https://catalog.archives.gov/id/23670971,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-05,05/01/1936,05/31/1936,Box 327,1,66,66,https://catalog.archives.gov/id/23671033,Arctic
