Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ALBATROSS,24,118,Volume 50 of 55,vol050of055,01/01/1913,06/30/1913,Volume 50 of 55,1,223,445,http://research.archives.gov/description/7696727,Arctic
ALBATROSS,24,118,Volume 51 of 55,vol051of055,07/01/1913,12/31/1913,Volume 51 of 55,1,223,445,http://research.archives.gov/description/7696728,Arctic
ALBATROSS,24,118,Volume 52 of 55,vol052of055,01/01/1914,06/30/1914,Volume 52 of 55,1,233,465,http://research.archives.gov/description/7696729,Arctic
ALBATROSS,24,118,Volume 53 of 55,vol053of055,07/01/1914,12/31/1914,Volume 53 of 55,1,234,467,http://research.archives.gov/description/7696730,Arctic
ALBATROSS,24,118,Volume 54 of 55,vol054of055,01/01/1915,06/30/1915,Volume 54 of 55,1,185,369,http://research.archives.gov/description/7696731,Arctic
ALBATROSS,24,118,Volume 55 of 55,vol055of055,07/01/1915,12/31/1915,Volume 55 of 55,1,145,289,http://research.archives.gov/description/7696732,Arctic
ALBATROSS,24,118-G,Box 1,b1,02/14/1916,06/03/1917,Box 1,1,"1,078","1,078",https://catalog.archives.gov/id/23658012,Arctic
ALBATROSS,24,118-G,Box 2,b2,06/03/1917,12/31/1918,Box 2,1,858,"1,451",https://catalog.archives.gov/id/23659091,Arctic
ALBATROSS,24,118-G,Box 3,b3,01/01/1919,04/06/1920,Box 3,1,801,997,https://catalog.archives.gov/id/23659950,Arctic
ALBATROSS,24,118-G,Box 4,b4,04/07/1920,10/29/1921,Box 4,1,"1,145","1,145",https://catalog.archives.gov/id/23660752,Arctic
ALBATROSS,24,118,Volume 17 of 55,vol017of055,01/[01/1888,06/30/1888,Volume 17 of 55,1,188,375,http://research.archives.gov/description/7696694,Arctic
ALBATROSS,24,118,Volume 9 of 55,vol009of055,01/01/1884,06/30/1884,Volume 9 of 55,1,193,385,http://research.archives.gov/description/7696686,Arctic
ALBATROSS,24,118,Volume 11 of 55,vol011of055,01/01/1885,06/30/1885,Volume 11 of 55,1,197,393,http://research.archives.gov/description/7696688,Arctic
ALBATROSS,24,118,Volume 13 of 55,vol013of055,01/01/1886,06/30/1886,Volume 13 of 55,1,190,379,http://research.archives.gov/description/7696690,Arctic
ALBATROSS,24,118,Volume 15 of 55,vol015of055,01/01/1887,06/30/1887,Volume 15 of 55,1,187,373,http://research.archives.gov/description/7696692,Arctic
ALBATROSS,24,118,Volume 19 of 55,vol019of055,01/01/1889,06/30/1889,Volume 19 of 55,1,190,379,http://research.archives.gov/description/7696696,Arctic
ALBATROSS,24,118,Volume 21 of 55,vol021of055,01/01/1890,06/30/1890,Volume 21 of 55,1,188,375,http://research.archives.gov/description/7696698,Arctic
ALBATROSS,24,118,Volume 23 of 55,vol023of055,01/01/1894,06/30/1894,Volume 23 of 55,1,187,373,http://research.archives.gov/description/7696700,Arctic
ALBATROSS,24,118,Volume 25 of 55,vol025of055,01/01/1895,06/30/1895,Volume 25 of 55,1,187,373,http://research.archives.gov/description/7696702,Arctic
ALBATROSS,24,118,Volume 27 of 55,vol027of055,01/01/1896,06/30/1896,Volume 27 of 55,1,188,375,http://research.archives.gov/description/7696704,Arctic
ALBATROSS,24,118,Volume 29 of 55,vol029of055,01/01/1897,06/30/1897,Volume 29 of 55,1,187,373,http://research.archives.gov/description/7696706,Arctic
ALBATROSS,24,118,Volume 31 of 55,vol031of055,01/01/1898,04/21/1898,Volume 31 of 55,1,117,233,http://research.archives.gov/description/7696708,Arctic
ALBATROSS,24,118,Volume 32 of 55,vol032of055,04/21/1898,10/31/1898,Volume 32 of 55,1,202,403,http://research.archives.gov/description/7696709,Arctic
ALBATROSS,24,118,Volume 34 of 55,vol034of055,05/01/1899,10/31/1899,Volume 34 of 55,1,206,412,http://research.archives.gov/description/7696711,Arctic
ALBATROSS,24,118,Volume 10 of 55,vol010of055,07/01/1884,12/31/1884,Volume 10 of 55,1,195,389,http://research.archives.gov/description/7696687,Arctic
ALBATROSS,24,118,Volume 12 of 55,vol012of055,07/01/1885,12/31/1885,Volume 12 of 55,1,197,393,http://research.archives.gov/description/7696689,Arctic
