HASSLER,23,102,Volume 75,hassler-1877,04/01/1877,01/01/1878,Volume 75,1,142,283,https://catalog.archives.gov/id/24332425,Arctic
HASSLER,23,102,Volume 75 and Box 1941,hassler-1878,01/02/1878,01/01/1879,Volume 75 and Box 1941,2,192,382,https://catalog.archives.gov/id/24332569,Arctic
HASSLER,23,102,Box 1941,hassler-1879,01/02/1879,12/31/1879,Box 1941,1,190,378,https://catalog.archives.gov/id/24332763,Arctic
HASSLER,23,102,Boxes 1941 and 1942,hassler-1880,01/01/1880,12/31/1880,Boxes 1941 and 1942,2,191,380,https://catalog.archives.gov/id/24332955,Arctic
HASSLER,23,102,Box 1942,hassler-1881,01/01/1881,12/31/1881,Box 1942,1,191,380,https://catalog.archives.gov/id/24333148,Arctic
HASSLER,23,102,Box 1942,hassler-1882,01/01/1882,12/31/1882,Box 1942,1,191,380,https://catalog.archives.gov/id/24333341,Arctic
HASSLER,23,102,Volumes 77 and 79,hassler-1883,01/01/1883,12/31/1883,Volumes 77 and 79,2,389,777,https://catalog.archives.gov/id/24333534,Arctic
HASSLER,23,102,Volumes 80 and 81,hassler-1884,01/01/1884,12/31/1884,Volumes 80 and 81,2,388,774,https://catalog.archives.gov/id/24333925,Arctic
HASSLER,23,102,Volumes 82 and 83,hassler-1885,01/01/1885,12/31/1885,Volumes 82 and 83,2,386,770,https://catalog.archives.gov/id/24334315,Arctic
HASSLER,23,102,Box 1943,hassler-1886,01/01/1886,12/31/1886,Box 1943,1,189,375,https://catalog.archives.gov/id/24334703,Arctic
HASSLER,23,102,Box 1943,hassler-1887,01/01/1887,12/19/1887,Box 1943,1,179,357,https://catalog.archives.gov/id/24334894,Arctic
HASSLER,23,102,Box 1943,hassler-1888,06/29/1888,01/01/1889,Box 1943,1,97,193,https://catalog.archives.gov/id/24335075,Arctic
HASSLER,23,102,Boxes 1943 and 1944,hassler-1889,01/02/1889,12/31/1889,Boxes 1943 and 1944,2,191,380,https://catalog.archives.gov/id/24335174,Arctic
HASSLER,23,102,Box 1944,hassler-1890,01/01/1890,12/31/1890,Box 1944,1,288,573,https://catalog.archives.gov/id/24335367,Arctic
HASSLER,23,102,Box 1945,hassler-1891,01/01/1891,12/31/1891,Box 1945,1,384,764,https://catalog.archives.gov/id/24335657,Arctic
HASSLER,23,102,Boxes 1945 and 1946,hassler-1892,01/01/1892,12/31/1892,Boxes 1945 and 1946,2,385,766,https://catalog.archives.gov/id/24336043,Arctic
HASSLER,23,102,Boxes 1946 and 1947,hassler-1893,01/01/1893,12/31/1893,Boxes 1946 and 1947,2,385,766,https://catalog.archives.gov/id/24336430,Arctic
HASSLER,23,102,Boxes 1947 and 1948,hassler-1894,01/01/1894,12/31/1894,Boxes 1947 and 1948,2,388,772,https://catalog.archives.gov/id/24336817,Arctic
HASSLER,23,102,Box 1948,hassler-1895,01/01/1895,05/25/1895,Box 1948,1,159,316,https://catalog.archives.gov/id/24337207,Arctic
